euphemism,mean
开导,男性自慰
呕呕,呕吐
你妈,无
太烧了,太卖弄风骚了
修车,卖淫
吴涛,不戴安全套
橄榄,干烂
嗯了,男性的性器官勃起
想太阳,男性产生性冲动
大雕,巨大的男性性器官
导管,男性自慰
手冲,男性自慰
观鸟,观看男性的性器官
想透,产生性冲动
无码,没有马赛克的色情电影
烧杯,卖弄风骚的女人
牛子,男性的性器官
苕皮,卖弄风骚的女人
迪克,男性的性器官
鸡吧,男性的性器官
鸡鸡,男性的性器官
鸿儒,发生性行为
打飞机,男性自慰
卖银,卖淫嫖娼
钙片,男同性恋发生性活动的电影
脐橙,一种性交的体位
步兵,没有马赛克的色情电影
擦边,裸露身体和卖弄性感
卖腐,传播淫秽的同性恋作品
白莲,女人
打给你,对你自慰
熊孩子,不听话的小孩
小电影,色情电影
本子,日本人
应召,上门卖淫
外围,高级妓女
有码,有马赛克的色情电影
小粉红,极端爱国的网友
日杂,日本杂种
五毛,极端爱国的网友
小鬼,阴阳怪气的网友
美分,热爱美国的网友
吃枣药丸,迟早要完蛋
放屁,无
暴毙,突然死亡
漂亮国,美国
兔友,爱国的中国人
神友,阴阳怪气的人
东夷,东边的少数民族
凯勒奇计划,犹太人的人种灭绝计划
这b,这个傻逼
中华田园犬,中国的土狗
信誉,性欲
